date,symbol,open,close,low,high,volume
2023-02-03,AMZN,105.260002,103.389999,102.519997,108.779999,144374800
2023-02-06,AMZN,102.93,102.18,100.650002,103.949997,81945200
2023-02-07,AMZN,101.169998,102.110001,98.080002,102.410004,119501300
2023-02-08,AMZN,102.040001,100.050003,98.779999,102.669998,75878300
2023-02-09,AMZN,101.32,98.239998,97.57,101.779999,64622500
2023-02-10,AMZN,97.559998,97.610001,96.230003,98.82,52740100
2023-02-13,AMZN,97.849998,99.540001,96.910004,99.68,52841500
2023-02-14,AMZN,98.410004,99.699997,97.519997,100.919998,56202900
2023-02-15,AMZN,99.089996,101.160004,98.449997,101.169998,47957600
2023-02-16,AMZN,99.209999,98.150002,98.099998,100.629997,56339200
2023-02-17,AMZN,97.800003,97.199997,95.650002,97.940002,60029400
2023-02-21,AMZN,95.339996,94.580002,94.269997,95.610001,56580400
2023-02-22,AMZN,95.099998,95.790001,94.800003,97.010002,59534100
2023-02-23,AMZN,96.120003,95.82,93.669998,96.43,48467000
2023-02-24,AMZN,93.529999,93.5,92.32,94.139999,57053800
2023-02-27,AMZN,94.279999,93.760002,93.139999,94.779999,47470300
2023-02-28,AMZN,93.139999,94.230003,92.919998,94.690002,43959300
2023-03-01,AMZN,93.870003,92.169998,91.589996,94.68,52299500
2023-03-02,AMZN,91.410004,92.129997,90.389999,92.230003,55509400
2023-03-03,AMZN,92.739998,94.900002,92.660004,94.940002,55759600
2023-03-06,AMZN,95.190002,93.75,93.739998,96.550003,52112400
2023-03-07,AMZN,94.059998,93.550003,92.779999,95.089996,49100700
2023-03-08,AMZN,93.599998,93.919998,92.18,94.169998,44899100
2023-03-09,AMZN,93.68,92.25,92.18,96.209999,56218700
2023-03-10,AMZN,92.669998,90.730003,90.25,93.57,69827500
2023-03-13,AMZN,89.970001,92.43,88.120003,94.019997,72397100
2023-03-14,AMZN,93.830002,94.879997,92.709999,95.07,60912700
2023-03-15,AMZN,93.220001,96.199997,93.07,96.669998,70731800
2023-03-16,AMZN,95.75,100.040001,95.610001,100.989998,84446900
2023-03-17,AMZN,99.790001,98.949997,97.459999,100.660004,87300200
2023-03-20,AMZN,98.410004,97.709999,95.699997,98.480003,62388900
2023-03-21,AMZN,98.139999,100.610001,98,100.849998,58597300
2023-03-22,AMZN,100.449997,98.699997,98.610001,102.099998,57475400
2023-03-23,AMZN,100.43,98.709999,97.620003,101.059998,57559300
2023-03-24,AMZN,98.07,98.129997,96.400002,98.300003,56095400
2023-03-27,AMZN,99.07,98.040001,97.080002,99.339996,46721300
2023-03-28,AMZN,98.110001,97.239998,96.290001,98.440002,38720100
2023-03-29,AMZN,98.690002,100.25,98.559998,100.419998,49783300
2023-03-30,AMZN,101.550003,102,101.010002,103.040001,53633400
2023-03-31,AMZN,102.160004,103.290001,101.949997,103.489998,56750300
2023-04-03,AMZN,102.300003,102.410004,101.43,103.290001,41135700
2023-04-04,AMZN,102.75,103.949997,102.110001,104.199997,48662500
2023-04-05,AMZN,103.910004,101.099998,100.75,103.910004,45175400
2023-04-06,AMZN,100.75,102.059998,99.800003,102.379997,43808000
2023-04-10,AMZN,100.959999,102.169998,99.57,102.199997,37261200
2023-04-11,AMZN,100.800003,99.919998,99.010002,101,60417800
2023-04-12,AMZN,100.400002,97.830002,97.709999,100.510002,56735000
2023-04-13,AMZN,98.949997,102.400002,98.709999,102.57,67925100
2023-04-14,AMZN,102.07,102.510002,101.110001,103.199997,51450500
2023-04-17,AMZN,103.160004,102.739998,101.589996,103.730003,39919500
2023-04-18,AMZN,103.949997,102.300003,101.519997,104.199997,39790500
2023-04-19,AMZN,101.580002,104.300003,101.389999,105.120003,58398900
2023-04-20,AMZN,103.529999,103.809998,103.209999,105.25,57696900
2023-04-21,AMZN,106.099998,106.959999,105.080002,108.150002,86774200
2023-04-24,AMZN,107.660004,106.209999,105.07,109.230003,69575600
2023-04-25,AMZN,104.910004,102.57,102.449997,105.449997,65026800
2023-04-26,AMZN,105.040001,104.980003,104.099998,106.620003,73803800
2023-04-27,AMZN,108.160004,109.82,106.800003,110.860001,149961200
2023-04-28,AMZN,107.730003,105.449997,104.330002,109.480003,130565000
2023-05-01,AMZN,104.949997,102.050003,101.82,105.230003,74728100
2023-05-02,AMZN,101.470001,103.629997,101.150002,103.900002,73469400
2023-05-03,AMZN,103.739998,103.650002,103.279999,105.959999,65051900
2023-05-04,AMZN,104.040001,104,103.309998,105.389999,45345500
2023-05-05,AMZN,104.269997,105.660004,103.550003,105.760002,56912900
2023-05-08,AMZN,105.040001,105.830002,104.699997,106.099998,49430900
2023-05-09,AMZN,105.480003,106.620003,105.160004,106.790001,44089400
